"Create Date","Last Name","Company / Account","Entitlement Details"
"02/08/2021","Google WEN2 - YK-50611H-85393424 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Fine Tune Refrigerant Charge(V) - 2000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Concorde Shopping Centre - YMC2-50611-C75959223 - L&M","THE MANAGEMENT CORPORATION STRATA T PLAN NO.1143","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Chemical Descaling(V) - 2000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Google WEN2 - YK-50611H-85497274 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Fine Tune Refrigerant Charge(V) - 2000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Concorde Shopping Centre - YMC2-50611-C75959222 - L&M","THE MANAGEMENT CORPORATION STRATA T PLAN NO.1143","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Chemical Descaling(V) - 2000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Google Wen 2 (Zone7) - YK-50611M-85805207 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Fine Tune Refrigerant Charge(V) - 2000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Google Wen2 - YK-50611D-64698964 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Chemical Descaling(V) - 2000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","DRT SIN11 - YVAA-50531D-96989706 - L&M","DIGITAL SINGAPORE 1 PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Fine Tune Refrigerant Charge(V) - 2000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;"
"02/08/2021","DRT SIN11 - YVAA-50531D-96989707 - L&M","DIGITAL SINGAPORE 1 PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Fine Tune Refrigerant Charge(V) - 2000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;"
"02/08/2021","Google Wen2 - YVAA-50531E-64880378 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;"
"02/08/2021","Google Wen2 - YVAA-50531E-64880377 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;"
